Fecha,Hora,Humedad
Fecha,Hora,Humedad
2024-05-19, 13:00:02, 1
2024-05-19, 13:00:05, 0
2024-05-19, 13:00:07, 0
2024-05-19, 13:00:10, 0
2024-05-19, 13:00:12, 0
2024-05-19, 13:00:15, 0
2024-05-19, 13:00:17, 0
2024-05-19, 13:00:20, 0
2024-05-19, 13:00:22, 0
2024-05-19, 13:00:25, 0
2024-05-19, 13:00:27, 0
2024-05-19, 13:00:30, 0
2024-05-19, 13:00:32, 0
2024-05-19, 13:00:35, 0
2024-05-19, 13:00:37, 0
2024-05-19, 13:00:40, 0
2024-05-19, 13:00:42, 1
2024-05-19, 13:00:45, 1
2024-05-19, 13:00:48, 0
2024-05-19, 13:00:50, 0
Fecha,Hora,Humedad
Fecha,Hora,Humedad
2024-05-19, 13:00:02, 0
2024-05-19, 13:00:05, 1
2024-05-19, 13:00:07, 1
2024-05-19, 13:00:10, 0
Fecha,Hora,Humedad
Fecha,Hora,Humedad
2024-05-19, 13:00:02, 73
2024-05-19, 13:00:05, 74
2024-05-19, 13:00:07, 74
2024-05-19, 13:00:10, 74
2024-05-19, 13:00:12, 74
2024-05-19, 13:00:15, 75
2024-05-19, 13:00:17, 75
2024-05-19, 13:00:20, 75
2024-05-19, 13:00:22, 75
2024-05-19, 13:00:25, 75
2024-05-19, 13:00:27, 75
2024-05-19, 13:00:30, 75
2024-05-19, 13:00:32, 76
2024-05-19, 13:00:35, 76
2024-05-19, 13:00:37, 76
2024-05-19, 13:00:40, 76
2024-05-19, 13:00:42, 76
2024-05-19, 13:00:45, 76
2024-05-19, 13:00:48, 76
2024-05-19, 13:00:50, 76
Fecha,Hora,Humedad
Fecha,Hora,Humedad
2024-05-18, 16:00:02, 79
2024-05-18, 16:00:05, 79
2024-05-18, 16:00:07, 79
2024-05-18, 16:00:10, 0
2024-05-18, 16:00:12, 2
2024-05-18, 16:00:15, 54
2024-05-18, 16:00:17, 53
2024-05-18, 16:00:20, 52
2024-05-18, 16:00:22, 53
2024-05-18, 16:00:25, 53
2024-05-18, 16:00:27, 53
2024-05-18, 16:00:30, 53
2024-05-18, 16:00:32, 53
2024-05-18, 16:00:35, 53
2024-05-18, 16:00:37, 53
2024-05-18, 16:00:40, 53
2024-05-18, 16:00:42, 53
2024-05-18, 16:00:45, 53
2024-05-18, 16:00:48, 53
2024-05-18, 16:00:50, 53
Fecha,Hora,Humedad
Fecha,Hora,Humedad
2024-05-19, 11:27:02, 80
2024-05-19, 11:27:05, 80
2024-05-19, 11:27:07, 80
2024-05-19, 11:27:10, 80
2024-05-19, 11:27:12, 80
2024-05-19, 11:27:15, 80
2024-05-19, 11:27:17, 80
2024-05-19, 11:27:20, 80
2024-05-19, 11:27:22, 80
2024-05-19, 11:27:25, 80
2024-05-19, 11:27:27, 80
2024-05-19, 11:27:30, 80
2024-05-19, 11:27:32, 80
2024-05-19, 11:27:35, 80
2024-05-19, 11:27:37, 80
2024-05-19, 11:27:40, 80
2024-05-19, 11:27:42, 80
2024-05-19, 11:27:45, 80
2024-05-19, 11:27:48, 80
2024-05-19, 11:27:50, 80
Fecha,Hora,Humedad
Fecha,Hora,Humedad
